"Index","x"
1974,901
1974/02/01,689
1974/03/01,827
1974/04/01,677
1974/05/01,522
1974/06/01,406
1974/07/01,441
1974/08/01,393
1974/09/01,387
1974/10/01,582
1974/11/01,578
1974/12/01,666
1975,830
1975/02/01,752
1975/03/01,785
1975/04/01,664
1975/05/01,467
1975/06/01,438
1975/07/01,421
1975/08/01,412
1975/09/01,343
1975/10/01,440
1975/11/01,531
1975/12/01,771
1976,767
1976/02/01,1141
1976/03/01,896
1976/04/01,532
1976/05/01,447
1976/06/01,420
1976/07/01,376
1976/08/01,330
1976/09/01,357
1976/10/01,445
1976/11/01,546
1976/12/01,764
1977,862
1977/02/01,660
1977/03/01,663
1977/04/01,643
1977/05/01,502
1977/06/01,392
1977/07/01,411
1977/08/01,348
1977/09/01,387
1977/10/01,385
1977/11/01,411
1977/12/01,638
1978,796
1978/02/01,853
1978/03/01,737
1978/04/01,546
1978/05/01,530
1978/06/01,446
1978/07/01,431
1978/08/01,362
1978/09/01,387
1978/10/01,430
1978/11/01,425
1978/12/01,679
1979,821
1979/02/01,785
1979/03/01,727
1979/04/01,612
1979/05/01,478
1979/06/01,429
1979/07/01,405
1979/08/01,379
1979/09/01,393
1979/10/01,411
1979/11/01,487
1979/12/01,574
