"Index","x"
1974,3035
1974/02/01,2552
1974/03/01,2704
1974/04/01,2554
1974/05/01,2014
1974/06/01,1655
1974/07/01,1721
1974/08/01,1524
1974/09/01,1596
1974/10/01,2074
1974/11/01,2199
1974/12/01,2512
1975,2933
1975/02/01,2889
1975/03/01,2938
1975/04/01,2497
1975/05/01,1870
1975/06/01,1726
1975/07/01,1607
1975/08/01,1545
1975/09/01,1396
1975/10/01,1787
1975/11/01,2076
1975/12/01,2837
1976,2787
1976/02/01,3891
1976/03/01,3179
1976/04/01,2011
1976/05/01,1636
1976/06/01,1580
1976/07/01,1489
1976/08/01,1300
1976/09/01,1356
1976/10/01,1653
1976/11/01,2013
1976/12/01,2823
1977,3102
1977/02/01,2294
1977/03/01,2385
1977/04/01,2444
1977/05/01,1748
1977/06/01,1554
1977/07/01,1498
1977/08/01,1361
1977/09/01,1346
1977/10/01,1564
1977/11/01,1640
1977/12/01,2293
1978,2815
1978/02/01,3137
1978/03/01,2679
1978/04/01,1969
1978/05/01,1870
1978/06/01,1633
1978/07/01,1529
1978/08/01,1366
1978/09/01,1357
1978/10/01,1570
1978/11/01,1535
1978/12/01,2491
1979,3084
1979/02/01,2605
1979/03/01,2573
1979/04/01,2143
1979/05/01,1693
1979/06/01,1504
1979/07/01,1461
1979/08/01,1354
1979/09/01,1333
1979/10/01,1492
1979/11/01,1781
1979/12/01,1915
