"Index","x"
1974,2134
1974/02/01,1863
1974/03/01,1877
1974/04/01,1877
1974/05/01,1492
1974/06/01,1249
1974/07/01,1280
1974/08/01,1131
1974/09/01,1209
1974/10/01,1492
1974/11/01,1621
1974/12/01,1846
1975,2103
1975/02/01,2137
1975/03/01,2153
1975/04/01,1833
1975/05/01,1403
1975/06/01,1288
1975/07/01,1186
1975/08/01,1133
1975/09/01,1053
1975/10/01,1347
1975/11/01,1545
1975/12/01,2066
1976,2020
1976/02/01,2750
1976/03/01,2283
1976/04/01,1479
1976/05/01,1189
1976/06/01,1160
1976/07/01,1113
1976/08/01,970
1976/09/01,999
1976/10/01,1208
1976/11/01,1467
1976/12/01,2059
1977,2240
1977/02/01,1634
1977/03/01,1722
1977/04/01,1801
1977/05/01,1246
1977/06/01,1162
1977/07/01,1087
1977/08/01,1013
1977/09/01,959
1977/10/01,1179
1977/11/01,1229
1977/12/01,1655
1978,2019
1978/02/01,2284
1978/03/01,1942
1978/04/01,1423
1978/05/01,1340
1978/06/01,1187
1978/07/01,1098
1978/08/01,1004
1978/09/01,970
1978/10/01,1140
1978/11/01,1110
1978/12/01,1812
1979,2263
1979/02/01,1820
1979/03/01,1846
1979/04/01,1531
1979/05/01,1215
1979/06/01,1075
1979/07/01,1056
1979/08/01,975
1979/09/01,940
1979/10/01,1081
1979/11/01,1294
1979/12/01,1341
